Ford,Clorox,Chubb,Hormel Food,Grainger,AT&T,AbbVie,Amcor,Ecolab,Pentair
-0.016992779,-0.000709275,-0.005576877,-0.001241692,0.000365182,0.004118952,0.003812901,-0.005808174,-0.000172134,0.002554256
-0.002573976,-0.012374502,-0.001099115,-0.015527534,-0.021004288,-0.004708708,-0.003812901,0.005808174,-0.002529233,0.00542745
-0.034079388,0.011664729,-0.00225194,-0.01500353,-0.009185964,-0.025090834,-0.022769057,-0.01360553,-0.006872498,-0.012595924
0.021978996,-0.012083845,-0.003362403,0.008165452,0.010497767,0.007833632,0.0004187,0.002931036,0.010893143,0.01158055
0.012100392,-0.005223852,0.008559216,-0.002035108,0.01187663,-0.006624524,0.000627665,-0.002931036,0.002862045,0.006581702
0.000858611,0.001503904,0.002687888,0.001780978,0.003658997,-0.014607707,0.011575207,0.000977798,0.001827438,-0.004889984
-0.001718048,-0.021508743,-0.014923495,-0.011504693,-0.015490943,0.004282626,-0.001448254,0.00390267,-0.013093722,0.000338
0.008561573,-0.015910245,-0.008919528,0.005385291,-0.017521878,-0.017241725,-0.016561434,-0.002664516,-0.032071546,-0.024806674
-0.034695534,-0.003751133,-0.012138065,-0.005385291,-0.004649674,-0.009360456,-0.009659313,-0.017946703,0.000716177,-0.017121304
0.004403335,-0.008239334,-0.018094522,-0.016854987,0.004604107,-0.051458283,-0.01808679,-0.013164588,-0.005502911,0.007023797
0.060521299,0.004725473,-0.002626837,0.005996507,0.006979743,0.022839435,-0.007676126,-0.002040905,0.001079082,0.007843121
0.040524098,-0.013606519,5.25895E-05,-0.003645774,-0.015429315,0.008991769,-0.008175109,-0.00512035,-0.006672418,-0.007318382
-0.047996116,0.007870006,-0.022879393,-0.002089294,-0.00773558,0.005737924,0.011078708,-0.010320031,-0.004533829,-0.030361834
0.009124836,0.00277778,0.010174124,0.049723428,0.009644809,0.005073051,-0.033311813,0.008264549,0.024360105,0.01520733
0.022858194,0.017188524,0.024523618,0.014079451,0.033699646,-0.038689599,0.025379572,0.025395019,0.023260938,0.03797703
0.016013086,0.005746546,-0.005421198,-0.00516403,-0.003118105,0.011764858,-7.29801E-05,0.003004536,0.001731552,-0.008583709
0.026647427,-0.023187211,0.001566752,-0.003210447,0.01491075,0.01803009,-0.010503789,0,-0.001269494,0.017941535
0.049784028,-0.011543257,0.005049463,-0.001485112,0.01738922,0.027071211,0.007869907,0.0109398,0.011881972,0.029205212
-0.000736148,0.004201379,-0.005153726,0.006419843,0.010179525,-0.001865095,0.008316895,-0.002971797,0.009823177,-0.015080223
0.011713236,-0.004839541,-0.002351372,0.005889542,0.002125503,-0.007495361,0.003915541,-0.006968459,0.002821188,-0.012094911
0.002906922,-0.00588985,-0.003143925,0.000244617,0.02218729,-0.001254685,-0.003261846,0.00199589,0.008695534,0.010089263
0.025081973,0.004036952,0.007007749,-0.001223761,0.020078556,-0.00692915,0.004202232,0.012877888,0.013536926,0.015769316
0.004941762,-0.015661948,-0.016022241,0.010233954,-0.013537985,0.001263404,-0.015152892,0,-0.009189696,-0.002143322
0.017452377,0.006604092,0.017298104,0.001211382,0.022870394,0.011923619,-0.002498835,0.011741722,0.013314134,0.006907841
-0.00207826,0.01014456,0.019058165,-0.000726638,-0.015525339,0.00186968,0.020034859,0.006786453,0.001924417,-0.0032834
-0.013966721,-0.006858899,-0.008603638,-0.011944132,-0.002392243,-0.017588375,-0.005932095,-0.015579744,-0.007941699,-0.001151867
-0.014164484,0.005004573,0.00335749,-0.002455109,0.015508426,-0.010831574,-0.006989977,-0.003933211,0.000940882,0.001151867
0.012052574,0.003768864,0.006271513,-0.001722237,-0.008348966,-0.001923697,0.004010625,-0.007913138,-0.004991185,-0.009583747
-0.012052574,-0.004473035,-0.009784189,-0.003453423,0.002673342,-0.008379072,-0.0109027,-0.020060691,-0.009608593,-0.001828063
0.006398814,0.004281786,-0.012812068,0.007630769,0.013714994,0.011583158,-0.007162162,0.009077196,0.012550806,0.01518684
0.021038701,0.017134452,-0.005413532,-0.007136585,0.029516337,0.013346261,-0.017567213,0.010983495,0.002823039,0.02683209
0.026028884,-0.016305772,-0.025784136,-0.026528191,0.003226392,-0.003795076,-0.000678994,-0.026158221,0.000939271,-0.004956448
0.010759951,0.006161656,0.022352734,0.010846357,0.011972208,0.012594621,0.005418726,0.009132357,0.015344505,0.020465534
0.011968301,0.007130509,0.018131781,0.008991153,0.008008267,-0.001879114,0.011195859,0.008048371,0.01516604,0.014343886
0.007243965,0.00814077,-0.001351142,0.009896079,-0.007675938,0.010601902,0.002076078,0.009970092,-0.000589328,-0.009800142
0.007191934,-0.002497691,-0.006155176,-0.011389052,0.000166083,-0.00310654,0.019147533,-0.032260704,-0.015229596,-0.009265903
